,freq,s_adj,age,unit,sex,geo,date,rate
117,M,SA,TOTAL,PC_ACT,T,CH,2020-07 ,5.1 
118,M,SA,TOTAL,PC_ACT,T,CY,2020-07 ,7.6 
119,M,SA,TOTAL,PC_ACT,T,CZ,2020-07 ,2.7 
120,M,SA,TOTAL,PC_ACT,T,DE,2020-07 ,0
121,M,SA,TOTAL,PC_ACT,T,DK,2020-07 ,6.3 
122,M,SA,TOTAL,PC_ACT,T,EA,2020-07 ,8.6 
123,M,SA,TOTAL,PC_ACT,T,EA18,2020-07 ,8.6 
124,M,SA,TOTAL,PC_ACT,T,EA19,2020-07 ,8.6 
125,M,SA,TOTAL,PC_ACT,T,EE,2020-07 ,7.8 
126,M,SA,TOTAL,PC_ACT,T,EL,2020-07 ,16.7 
127,M,SA,TOTAL,PC_ACT,T,ES,2020-07 ,16.4 
128,M,SA,TOTAL,PC_ACT,T,EU27_2020,2020-07 ,7.7 
129,M,SA,TOTAL,PC_ACT,T,FI,2020-07 ,8.6 
130,M,SA,TOTAL,PC_ACT,T,FR,2020-07 ,9.4 
131,M,SA,TOTAL,PC_ACT,T,HR,2020-07 ,8.2 
132,M,SA,TOTAL,PC_ACT,T,HU,2020-07 ,4.6 
133,M,SA,TOTAL,PC_ACT,T,IE,2020-07 ,6.2 
134,M,SA,TOTAL,PC_ACT,T,IS,2020-07 ,5.3 
135,M,SA,TOTAL,PC_ACT,T,IT,2020-07 ,9.7 
136,M,SA,TOTAL,PC_ACT,T,JP,2020-07 ,2.9 
137,M,SA,TOTAL,PC_ACT,T,LT,2020-07 ,9.6 
138,M,SA,TOTAL,PC_ACT,T,LU,2020-07 ,7.2 
139,M,SA,TOTAL,PC_ACT,T,LV,2020-07 ,8.8 
140,M,SA,TOTAL,PC_ACT,T,MT,2020-07 ,4.5 
141,M,SA,TOTAL,PC_ACT,T,NL,2020-07 ,4.5 
142,M,SA,TOTAL,PC_ACT,T,NO,2020-07 ,5.2 
143,M,SA,TOTAL,PC_ACT,T,PL,2020-07 ,3.4 
144,M,SA,TOTAL,PC_ACT,T,PT,2020-07 ,7.9 
145,M,SA,TOTAL,PC_ACT,T,RO,2020-07 ,5.5 
146,M,SA,TOTAL,PC_ACT,T,SE,2020-07 ,9.1 
147,M,SA,TOTAL,PC_ACT,T,SI,2020-07 ,5.2 
148,M,SA,TOTAL,PC_ACT,T,SK,2020-07 ,7.1 
149,M,SA,TOTAL,PC_ACT,T,TR,2020-07 ,13.8 
150,M,SA,TOTAL,PC_ACT,T,UK,2020-07 ,4.4 
151,M,SA,TOTAL,PC_ACT,T,US,2020-07 ,10.2 
152,M,SA,TOTAL,PC_ACT,T,AT,2020-08 ,5.6 
153,M,SA,TOTAL,PC_ACT,T,BE,2020-08 ,6.5 
154,M,SA,TOTAL,PC_ACT,T,BG,2020-08 ,5.2 
155,M,SA,TOTAL,PC_ACT,T,CH,2020-08 ,5.1 
156,M,SA,TOTAL,PC_ACT,T,CY,2020-08 ,8.5 
157,M,SA,TOTAL,PC_ACT,T,CZ,2020-08 ,2.8 
158,M,SA,TOTAL,PC_ACT,T,DE,2020-08 ,0
159,M,SA,TOTAL,PC_ACT,T,DK,2020-08 ,6.2 
160,M,SA,TOTAL,PC_ACT,T,EA,2020-08 ,8.6 
161,M,SA,TOTAL,PC_ACT,T,EA18,2020-08 ,8.6 
162,M,SA,TOTAL,PC_ACT,T,EA19,2020-08 ,8.6 
163,M,SA,TOTAL,PC_ACT,T,EE,2020-08 ,8.0 
164,M,SA,TOTAL,PC_ACT,T,EL,2020-08 ,17.0 
165,M,SA,TOTAL,PC_ACT,T,ES,2020-08 ,16.7 
166,M,SA,TOTAL,PC_ACT,T,EU27_2020,2020-08 ,7.7 
167,M,SA,TOTAL,PC_ACT,T,FI,2020-08 ,8.5 
168,M,SA,TOTAL,PC_ACT,T,FR,2020-08 ,9.0 
169,M,SA,TOTAL,PC_ACT,T,HR,2020-08 ,8.2 
170,M,SA,TOTAL,PC_ACT,T,HU,2020-08 ,4.4 
171,M,SA,TOTAL,PC_ACT,T,IE,2020-08 ,6.6 
172,M,SA,TOTAL,PC_ACT,T,IS,2020-08 ,5.5 
173,M,SA,TOTAL,PC_ACT,T,IT,2020-08 ,9.6 
174,M,SA,TOTAL,PC_ACT,T,JP,2020-08 ,3.0 
175,M,SA,TOTAL,PC_ACT,T,LT,2020-08 ,10.2 
176,M,SA,TOTAL,PC_ACT,T,LU,2020-08 ,6.8 
177,M,SA,TOTAL,PC_ACT,T,LV,2020-08 ,8.6 
178,M,SA,TOTAL,PC_ACT,T,MT,2020-08 ,4.5 
179,M,SA,TOTAL,PC_ACT,T,NL,2020-08 ,4.6 
180,M,SA,TOTAL,PC_ACT,T,NO,2020-08 ,5.3 
181,M,SA,TOTAL,PC_ACT,T,PL,2020-08 ,3.3 
182,M,SA,TOTAL,PC_ACT,T,PT,2020-08 ,8.1 
183,M,SA,TOTAL,PC_ACT,T,RO,2020-08 ,5.4 
184,M,SA,TOTAL,PC_ACT,T,SE,2020-08 ,9.1 
185,M,SA,TOTAL,PC_ACT,T,SI,2020-08 ,5.2 
186,M,SA,TOTAL,PC_ACT,T,SK,2020-08 ,7.2 
187,M,SA,TOTAL,PC_ACT,T,TR,2020-08 ,13.3 
188,M,SA,TOTAL,PC_ACT,T,UK,2020-08 ,4.7 
189,M,SA,TOTAL,PC_ACT,T,US,2020-08 ,8.4 
190,M,SA,TOTAL,PC_ACT,T,AT,2020-09 ,5.5 
191,M,SA,TOTAL,PC_ACT,T,BE,2020-09 ,6.6 
192,M,SA,TOTAL,PC_ACT,T,BG,2020-09 ,5.2 
193,M,SA,TOTAL,PC_ACT,T,CH,2020-09 ,5.1 
194,M,SA,TOTAL,PC_ACT,T,CY,2020-09 ,9.3 
195,M,SA,TOTAL,PC_ACT,T,CZ,2020-09 ,2.8 
196,M,SA,TOTAL,PC_ACT,T,DE,2020-09 ,0
197,M,SA,TOTAL,PC_ACT,T,DK,2020-09 ,6.0 
198,M,SA,TOTAL,PC_ACT,T,EA,2020-09 ,8.6 
199,M,SA,TOTAL,PC_ACT,T,EA18,2020-09 ,8.5 
200,M,SA,TOTAL,PC_ACT,T,EA19,2020-09 ,8.6 
201,M,SA,TOTAL,PC_ACT,T,EE,2020-09 ,8.1 
202,M,SA,TOTAL,PC_ACT,T,EL,2020-09 ,16.6 
